episode,other_win_rate
1,0.222222222
2,0.244444444
3,0.2
4,0.355555556
5,0.311111111
6,0.333333333
7,0.311111111
8,0.222222222
9,0.333333333
10,0.355555556
11,0.466666667
12,0.355555556
13,0.377777778
14,0.311111111
15,0.444444444
16,0.288888889
17,0.422222222
18,0.333333333
19,0.333333333
20,0.333333333
21,0.288888889
22,0.377777778
23,0.2
24,0.355555556
25,0.355555556
26,0.266666667
27,0.333333333
28,0.266666667
29,0.444444444
30,0.311111111
31,0.377777778
32,0.266666667
33,0.333333333
34,0.444444444
35,0.422222222
36,0.333333333
37,0.244444444
38,0.355555556
39,0.288888889
40,0.266666667
41,0.422222222
42,0.266666667
43,0.355555556
44,0.4
45,0.266666667
46,0.333333333
47,0.4
48,0.355555556
49,0.311111111
50,0.466666667
51,0.288888889
52,0.355555556
53,0.288888889
54,0.377777778
55,0.244444444
56,0.311111111
57,0.244444444
58,0.288888889
59,0.288888889
60,0.2
61,0.311111111
62,0.333333333
63,0.377777778
64,0.377777778
65,0.244444444
66,0.377777778
67,0.333333333
68,0.288888889
69,0.311111111
70,0.311111111
71,0.244444444
72,0.244444444
73,0.377777778
74,0.288888889
75,0.266666667
76,0.244444444
77,0.288888889
78,0.355555556
79,0.222222222
80,0.288888889
81,0.333333333
82,0.444444444
83,0.311111111
84,0.466666667
85,0.422222222
86,0.377777778
87,0.311111111
88,0.333333333
89,0.244444444
90,0.311111111
91,0.377777778
92,0.266666667
93,0.355555556
94,0.333333333
95,0.288888889
96,0.288888889
97,0.355555556
98,0.4
99,0.488888889
